,0,1,2,3,4,5,6,7,8,val
334,X, ,X,O, ,O,X, ,O,0.9342895811499329
335,O,X, , , , , ,X, ,-0.6009642043524268
336,O, ,X, , , , ,X, ,-0.027804755417367932
337,O, , ,X, , , ,X, ,-0.6684500351297393
338,O, , , ,X, , ,X, ,-0.2007474215847971
339,O, , , , , ,X,X, ,0.8135711664785995
340,O, , , , , , ,X,X,-0.46850267276759394
341,O,X, , ,X,O, ,X, ,0.9999999820609959
342,O, ,X, ,X,O, ,X, ,0.28922974360627124
343,O, , ,X,X,O, ,X, ,-0.05575742196384796
344,O, , , ,X,O,X,X, ,0.0
345,O, , , ,X,O, ,X,X,0.604107654602012
346,O,O, ,X,X,O, ,X, ,-0.04408804332354926
347,O, ,O,X,X,O, ,X, ,0.45403320312499995
348,O, , ,X,X,O,O,X, ,0.8744693941590135
349,O, , ,X,X,O, ,X,O,0.7178060607910155
350,O, ,O,X,X,O,X,X,O,-0.9998995475742793
351,O, ,O,X,X,O,X,X, ,-0.9477405114935096
352,O, , , ,X,O, ,X, ,0.940694062827689
353,O, , , , , , ,X, ,0.7694935229868727
354,O, , , , , , , ,X,0.7743550480214036
355, ,O, , , , , , ,X,0.8084902609804252
356, , ,O, , , , , ,X,0.6203916358874415
357, , , ,O, , , , ,X,0.7739128159612731
358, , , , ,O, , , ,X,-0.18388107555622715
359, , , , , ,O, , ,X,0.6059942506372119
360, , , , , , ,O, ,X,0.7639705061546
361, , , , , , , ,O,X,0.7795887280761995
362,X, , , , , ,O, ,X,0.3951767698416578
363, ,X, , , , ,O, ,X,-0.13175628741399284
364, , ,X, , , ,O, ,X,0.8144767311711884
365, , , ,X, , ,O, ,X,0.28722172658647716
366, , , , ,X, ,O, ,X,-0.12057254324815972
367, , , , , , ,O,X,X,-0.6947971480033464
368, ,O, , , ,X,O, ,X,0.8914035662006587
369, , , ,O, ,X,O, ,X,0.8774796077917909
370, , , , ,O,X,O, ,X,0.944121867535313
371,O,X, ,O, ,X,O, ,X,-0.9943622898863396
372, ,X,O,O, ,X,O, ,X,-0.7251739274263381
373, ,X, ,O,O,X,O, ,X,0.8117999824514845
374, ,X, ,O, ,X,O,O,X,0.7472959189414976
375, ,X, ,O, ,X,O, ,X,-0.6494140625
376,X,O, , , , , , ,X,0.0886804715786309
377, ,O,X, , , , , ,X,0.24841708063180415
378, ,O, ,X, , , , ,X,-0.37581483930009674
379, ,O, , ,X, , , ,X,0.3787410764287171
380, ,O, , , , ,X, ,X,0.8298785128345911
381,X,O,O, , , , , ,X,0.878669548034668
382,X,O, ,O, , , , ,X,0.48391450683593745
383,X,O, , ,O, , , ,X,0.49150705738537964
384,X,O, , , ,O, , ,X,0.7172337646484375
385,X,O, , , , ,O, ,X,0.7501344436645507
386,X,O, , , , , ,O,X,0.5273054303395748
387,X,O,X,O, , , , ,X,0.4625311837728283
388,X,O, ,O,X, , , ,X,0.25
389,X,O, ,O, ,X, , ,X,0.7727502014160156
390,X,O, ,O, , ,X, ,X,0.6549350658897066
391,X,O, ,O, , , ,X,X,0.8245342626597731
392,X,O,X,O,X, ,O, ,X,0.9999999999999818
393,X,O,X,O, ,X,O, ,X,0.25
394,X,O,X,O, , ,O,X,X,0.8904394764383323
395,X,O,X,O,O, ,O,X,X,0.9499994619944263
396,X,O,X,O, ,O,O,X,X,0.9274305991828442
397,X,O,X,O,X,O,O,X,X,0.9999899434148384
398,X,O,X,O, , ,O, ,X,0.9454437589880484
399,O, , ,X, , ,O, ,X,0.8559992599712387
400, ,O, ,X, , ,O, ,X,0.7331341072791959
401, , ,O,X, , ,O, ,X,0.811929827673626
402, , , ,X,O, ,O, ,X,-0.22562497366389006
403, , , ,X, ,O,O, ,X,5.10407436911384e-05
404, , , ,X, , ,O,O,X,0.5650165682019246
405,O,X, ,X,O, ,O, ,X,0.1583834682070386
406, ,X,O,X,O, ,O, ,X,-0.9989966087224467
407, ,X, ,X,O,O,O, ,X,0.16076390623293838
408, ,X, ,X,O, ,O,O,X,0.8544503745644113
409,O,X, ,X,O,O,O,X,X,0.0
410, ,X,O,X,O,O,O,X,X,-0.9976215910457995
411, ,X, ,X,O,O,O,X,X,-0.7496289226043586
412, ,X, ,X,O, ,O, ,X,-0.9088644806649535
413,X, , , , ,O,X, , ,0.48270319740176443
414, ,X, , , ,O,X, , ,0.14581016829967497
415, , ,X, , ,O,X, , ,0.17857345870774605
416, , , ,X, ,O,X, , ,0.22563538425921625
417, , , , ,X,O,X, , ,0.39273348443734746
418, , , , , ,O,X,X, ,-0.6231537756347656
